5/8/20,5/24/20,5/31/20,6/7/20,last_30,last_14,last_7,per_pop_confirmed,per_pop_confirmed_30,per_pop_confirmed_14,per_pop_confirmed_7,rate_increase_30,rate_increase_14,rate_increase_7,tangent_30,tangent_14,tangent_7,trend,per_confirmed_by2021_30,per_confirmed_by2021_14,per_confirmed_by2021_7,State,County,POPESTIMATE2019,UID,iso2,iso3,code3,FIPS,Country_Region,Lat,Long_,Combined_Key,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20
12,24,54,173,161,149,119,1.58613734299074,1.4761162556156597,1.3660951682405795,1.0910424498028788,13.41666666666667,6.208333333333335,2.203703703703703,0.049203875187188655,0.09757822630289854,0.15586320711469698,rising,11.820543381925981,21.882408413993637,34.00568442284771,Georgia,Chattahoochee,10907,84013053,US,USA,840,13053,US,32.34341231,-84.78809239,"Chattahoochee, Georgia, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,5,5,5,6,6,6,7,7,8,8,8,8,8,9,11,11,12,12,12,13,13,13,12,13,12,12,14,15,16,17,19,19,19,19,20,19,19,20,22,25,30,33,33,39,43,114,154,160,166,172,172
6,61,117,147,141,86,30,3.669495756365452,3.5197204193709437,2.146779830254618,0.7488766849725412,23.499999999999993,1.40983606557377,0.25641025641025644,0.11732401397903146,0.15334141644675842,0.10698238356750589,leveling,28.072890664003996,35.56451037729121,25.92183153840668,Georgia,Echols,4006,84013101,US,USA,840,13101,US,30.71101099,-82.89687287,"Echols, Georgia, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,7,8,10,12,15,15,15,16,21,53,54,59,61,62,96,99,104,107,110,119,121,125,130,136,146
32,231,783,1142,1110,911,359,5.8205912334352705,5.657492354740061,4.643221202854231,1.8297655453618757,34.68749999999985,3.943722943722944,0.45849297573435505,0.18858307849133535,0.3316586573467308,0.26139507790883937,leveling,45.04587155963303,74.80559196155527,60.19076743847387,Iowa,Buena Vista,19620,84019021,US,USA,840,19021,US,42.73545875,-95.15100162,"Buena Vista, Iowa, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,6,6,8,11,15,16,18,30,31,39,41,45,74,83,82,102,113,117,124,134,140,227,243,252,682,702,721,735,810,852,918,997,1067,1112
149,477,516,573,424,96,57,3.4066587395957195,2.520808561236623,0.5707491082045184,0.3388822829964328,2.8456375838926173,0.2012578616352201,0.11046511627906976,0.08402695204122076,0.040767793443179885,0.048411754713776116,leveling,20.88426476416964,11.886359775777136,13.476303720061152,Iowa,Crawford,16820,84019047,US,USA,840,19047,US,42.03718237,-95.3819718,"Crawford, Iowa, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,10,14,14,19,21,21,24,31,51,78,96,103,124,175,176,191,197,207,300,336,348,380,384,394,410,435,445,460,486,487,488,489,501,514,528,530,542,547,551,567
6,117,169,242,236,125,73,1.926444833625219,1.8786817385766599,0.9950644801783155,0.5811176564241363,39.333333333333435,1.0683760683760684,0.4319526627218935,0.062622724619222,0.07107603429845111,0.08301680806059089,rising,14.951971554423395,16.71025996770305,19.193940910228125,Iowa,Wright,12562,84019197,US,USA,840,19197,US,42.73305373,-93.73515113,"Wright, Iowa, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,3,3,3,3,3,4,5,5,6,6,6,6,6,6,7,8,14,20,24,45,73,85,98,122,124,124,145,153,167,178,188,194,212,221,235
861,1418,1481,1526,665,108,45,4.18460525954973,1.8235665121891025,0.2961581704006362,0.12339923766693174,0.7723577235772358,0.076163610719323,0.030384875084402428,0.060785550406303415,0.02115415502861687,0.01762846252384739,lowering,16.82799974406084,8.584669505502038,7.851325464509987,Kansas,Finney,36467,84020055,US,USA,840,20055,US,38.04340344,-100.7381938,"Finney, Kansas, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,9,10,10,11,11,12,12,15,15,17,17,18,21,27,31,35,41,42,56,127,162,162,202,238,270,270,404,503,550,550,586,659,740,791,902,902,992,994,1101,1175,1234,1234,1234,1316,1331,1363,1398,1418,1418,1418,1451,1458,1466,1481,1481,1502,1504,1518,1522,1526,1526
1024,1560,1742,1819,795,259,77,5.410630893244892,2.364734227668878,0.7703976917814331,0.22903715161069632,0.7763671875,0.16602564102564102,0.044202066590126286,0.07882447425562926,0.05502840655581665,0.03271959308724233,lowering,21.806121538415777,16.856539456854755,12.216306255391295,Kansas,Ford,33619,84020057,US,USA,840,20057,US,37.69200114,-99.88825298,"Ford, Kansas, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,2,2,2,5,13,16,17,32,51,84,107,127,180,187,208,288,350,419,459,516,544,600,675,702,770,815,832,869,880,930,1061,1099,1132,1170,1229,1250,1296,1311,1311,1400,1411,1437,1437,1555,1555,1601,1601,1622,1622,1732,1732,1787,1789,1794,1794,1813,1819
37,150,318,504,467,354,186,1.258050022465179,1.1656931755778543,0.883630372921971,0.464280365433578,12.621621621621628,2.3600000000000008,0.5849056603773586,0.03885643918592848,0.06311645520871222,0.06632576649051114,rising,9.340189373138303,14.386272705877321,15.053809452491496,Minnesota,Mower,40062,84027099,US,USA,840,27099,US,43.67142874,-92.75234549,"Mower, Minnesota, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,6,6,6,10,10,11,11,12,13,14,15,15,17,17,17,18,18,20,22,23,25,25,25,25,25,25,26,27,26,26,27,27,28,28,28,28,28,28,28,28,28,28,32,33,35,36,42,45,45,45,48,50,54,56,58,65,72,78,87,112,138,189,206,216,231,254,303,345,354,366,406,446,482
1177,1457,1539,1592,415,135,53,7.360488233390355,1.9187202367192195,0.6241620047158907,0.24504137962920153,0.3525913338997451,0.09265614275909403,0.03443794671864847,0.06395734122397398,0.04458300033684933,0.03500591137560022,lowering,20.663615207976942,16.633752303455015,14.6417177995152,Minnesota,Nobles,21629,84027105,US,USA,840,27105,US,43.67434621,-95.75329576,"Nobles, Minnesota, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,2,2,12,36,60,76,101,126,196,258,325,352,399,477,615,742,866,899,940,1011,1069,1082,1153,1230,1255,1269,1291,1290,1319,1342,1353,1361,1387,1394,1396,1414,1432,1444,1469,1478,1488,1496,1503,1512,1544,1552,1558,1562,1577,1585
27,109,204,315,288,206,111,1.5607194173314176,1.426943467274439,1.0206609522865777,0.54996779467869,10.66666666666667,1.889908256880733,0.5441176470588235,0.0475647822424813,0.07290435373475555,0.07856682781124143,rising,11.454194123767529,16.72482499416057,17.90261960206963,Mississippi,Wayne,20183,84028153,US,USA,840,28153,US,31.64135687,-88.69573913,"Wayne, Mississippi, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,5,5,5,6,7,8,8,9,9,9,10,10,10,11,12,12,11,17,16,19,19,19,19,20,23,23,24,24,24,25,26,27,27,27,28,29,29,32,33,37,39,39,45,51,58,72,76,125,133,148,154,171,177,210,224,235,262,280,295
